City,Country,Lat,Lng,Temperature (F),Humidity,Cloudiness,Wind Speed,Hemisphere
Saint Venera,MT,35.89,14.47,61.2,72,0,9.17,Northern
Schönberger Strand,DE,54.42,10.4,40.98,74,98,3.0,Northern
Partaloa,ES,37.41,-2.23,59.77,55,36,3.0,Northern
Eilsdorf,DE,52.0,11.0,47.64,84,83,2.24,Northern
Palikir,FM,6.92,158.16,78.8,88,90,6.93,Northern
Oberndorf an der Melk,AT,48.07,15.22,47.62,62,6,1.01,Northern
Bilma,NE,18.69,12.92,85.23,12,0,7.09,Northern
Neuf-Brisach,FR,48.02,7.53,55.96,44,100,5.82,Northern
Lion-sur-Mer,FR,49.3,-0.32,52.95,87,100,2.24,Northern
Estación de Aljucén,ES,38.94,-6.41,71.29,64,14,8.05,Northern
Cioranii de Jos,RO,44.82,26.42,48.13,93,52,3.36,Northern
Sassocorvaro,IT,43.78,12.5,53.02,87,0,2.24,Northern
Belmiro Braga,BR,-21.95,-43.41,57.0,89,100,4.68,Southern
Dok Kham Tai,TH,19.16,99.99,78.91,75,80,3.36,Northern
Razvil'noye,RU,46.24,41.3,54.19,87,100,9.55,Northern
Tarasovka,RU,57.51,41.47,51.17,95,44,7.16,Northern
Miami-Dade County,US,25.62,-80.53,81.7,28,20,11.41,Northern
Selby,US,45.51,-100.03,51.69,43,90,18.34,Northern
Contla,MX,19.33,-98.17,57.2,82,90,6.93,Northern
Cachoeira Dourada,BR,-18.52,-49.5,65.75,91,100,4.54,Southern
Ocho Rios,JM,18.4,-77.1,82.99,84,56,1.01,Northern
Chesterfield,US,37.38,-77.6,64.69,46,1,8.05,Northern
Eichenstein,DE,50.38,11.7,45.68,47,77,3.18,Northern
Riba de Ave,PT,41.4,-8.39,61.57,93,75,3.36,Northern
Villafranca de los Caballeros,ES,39.45,-3.34,62.01,58,35,7.0,Northern
Banjarwaru,ID,-7.78,108.38,77.74,88,100,4.94,Southern
Borox,ES,40.06,-3.72,66.06,55,31,9.17,Northern
Pejek,ID,-8.65,120.72,68.97,97,71,1.01,Southern
Le Grand Hameau,FR,49.53,0.09,54.07,66,100,3.36,Northern
Tianlou,CN,34.25,119.6,65.39,90,100,15.9,Northern
Caerphilly,GB,51.57,-3.22,54.5,87,83,2.21,Northern
Miti ya Hunter,KE,0.32,35.18,59.0,100,40,4.7,Northern
Gokak,IN,16.17,74.83,73.9,74,100,5.82,Northern
Belsch,DE,53.33,11.2,43.97,91,100,3.44,Northern
Villamesías,ES,39.25,-5.89,62.33,76,1,3.56,Northern
Chatturat,TH,15.57,101.85,81.86,79,100,6.51,Northern
South Meadows Farms,US,34.92,-81.95,67.28,52,1,8.05,Northern
Lauder,CA,49.39,-100.68,50.0,26,0,7.0,Northern
Csabrendek,HU,47.01,17.29,49.1,66,0,4.7,Northern
Eschol,AU,-32.33,148.65,60.8,72,0,5.82,Southern
Sainte-Bazeille,FR,44.53,0.1,66.61,62,99,5.01,Northern
Ochla,PL,51.88,15.47,46.13,42,20,5.19,Northern
Gelendost,TR,38.12,31.02,51.8,93,75,10.29,Northern
Dudinin,AU,-32.88,117.9,49.08,82,56,10.71,Southern
Saint-Félix-Lauragais,FR,43.45,1.9,62.6,59,100,24.16,Northern
Polovinnoye,RU,54.79,65.99,55.92,46,0,4.52,Northern
Kamen,DE,51.6,7.67,51.8,54,100,4.7,Northern
Norderfriedrichskoog,DE,54.4,8.9,40.3,87,69,6.85,Northern
Hyltebruk,SE,57.0,13.24,44.1,87,52,8.05,Northern
San Francisco del Rincón,MX,21.02,-101.86,77.0,33,75,6.44,Northern
Santa Ana,PH,15.1,120.77,82.4,83,75,2.24,Northern
Otutara,PF,-17.77,-149.42,87.8,58,4,11.41,Southern
Granger,US,41.75,-86.13,58.84,29,1,6.93,Northern
Yingzhou,CN,18.42,109.85,82.4,83,40,4.47,Northern
Magenta,IT,45.46,8.88,59.45,63,90,1.99,Northern
Market Harborough,GB,52.48,-0.92,56.71,71,41,2.24,Northern
Hallam,AU,-38.02,145.27,58.06,66,1,4.0,Southern
Ærøskøbing,DK,54.89,10.41,42.73,87,81,3.36,Northern
Utena,LT,55.5,25.6,34.83,88,61,6.89,Northern
Moka District,MU,-20.25,57.57,73.71,94,40,1.12,Southern
Lienden,NL,51.95,5.52,51.96,78,98,3.38,Northern
Novi Šeher,BA,44.51,18.03,48.24,65,0,5.41,Northern
Kogel,DE,53.5,10.95,42.37,78,98,3.6,Northern
Osterwitz,AT,46.86,15.13,48.97,71,0,1.12,Northern
Barruecopardo,ES,41.07,-6.66,57.67,86,60,6.06,Northern
Criwik,ID,-6.71,111.5,74.91,91,45,4.79,Southern
Gorna Malina,BG,42.68,23.7,43.43,75,20,4.7,Northern
Vellmar,DE,51.36,9.48,46.35,61,100,2.24,Northern
Oberweid,DE,50.6,10.07,48.45,71,95,2.93,Northern
Landkreis Gifhorn,DE,52.59,10.63,45.25,70,93,0.51,Northern
Ibabang Tayuman,PH,13.41,122.52,82.6,76,99,3.69,Northern
Lurup,DE,53.59,9.88,42.44,87,85,2.24,Northern
Linares de la Sierra,ES,37.88,-6.62,57.18,75,0,4.56,Northern
Quetigny,FR,47.32,5.12,53.6,76,95,3.36,Northern
Mizdah,LY,31.45,12.98,64.85,64,28,16.44,Northern
Beinasco,IT,45.02,7.58,61.84,54,100,1.01,Northern
Romanones,ES,40.57,-2.99,65.46,45,53,5.82,Northern
Mingxing,CN,29.68,109.27,71.01,87,94,2.13,Northern
Willwerscheid,DE,50.03,6.93,56.03,50,75,1.57,Northern
Hood,US,32.43,-97.87,83.37,40,40,26.4,Northern
Saint-Georges-d'Elle,FR,49.15,-0.97,52.43,87,99,2.24,Northern
Friol,ES,43.03,-7.8,55.0,99,86,1.01,Northern
Schweiburg,DE,53.4,8.28,45.03,58,83,5.01,Northern
Herbertingen,DE,48.07,9.43,46.69,70,40,2.24,Northern
Brestje,HR,45.83,16.08,52.16,81,0,1.12,Northern
Fuentespreadas,ES,41.33,-5.63,60.8,77,45,2.24,Northern
Plankstadt,DE,49.39,8.6,54.63,66,88,2.24,Northern
Billingham,GB,54.61,-1.29,53.2,65,0,5.66,Northern
Gryon,CH,46.27,7.06,53.42,67,100,3.36,Northern
Preston,US,42.1,-111.88,55.18,18,1,9.17,Northern
Šibensko-Kninska Županija,HR,43.83,15.92,55.0,69,0,4.32,Northern
Dupo,US,38.52,-90.21,68.92,32,75,5.82,Northern
Boulder,US,40.08,-105.35,60.87,11,1,26.4,Northern
Daszyna,PL,52.16,19.18,46.67,79,81,7.63,Northern
Gilching,DE,48.1,11.3,43.11,75,15,3.36,Northern
Sejalvo,ES,42.3,-7.86,59.49,88,45,1.12,Northern
San Dionisio,NI,12.76,-85.85,89.47,40,44,14.27,Northern
Woodmont,US,41.23,-72.99,61.21,31,20,11.41,Northern
Csanytelek,HU,46.59,20.12,48.4,63,0,5.48,Northern
Dakingari,NG,11.65,4.06,93.13,28,34,5.95,Northern
Battle Ground,US,45.78,-122.53,72.46,26,0,5.01,Northern
Carpin,DE,53.35,13.25,43.97,90,70,4.61,Northern
Cájar,ES,37.13,-3.57,63.34,48,5,2.91,Northern
Sulzheim,DE,49.95,10.33,48.54,77,91,1.52,Northern
Wanzhi,CN,31.15,118.57,74.03,82,0,6.82,Northern
Woodland,US,38.68,-121.77,90.16,14,40,9.17,Northern
Chermignon,CH,46.29,7.48,51.89,67,100,3.36,Northern
Sovetsk,RU,55.08,21.88,36.41,84,0,4.36,Northern
Ribadesella,ES,43.46,-5.06,59.81,86,88,1.01,Northern
Krajan Kertonegoro,ID,-8.31,113.62,76.35,91,59,2.04,Southern
Fuente Obejuna,ES,38.27,-5.42,64.99,70,0,5.01,Northern
Groß Miltzow,DE,53.53,13.6,44.1,98,60,5.32,Northern
Baloži,LV,56.85,24.04,35.6,85,39,2.24,Northern
Sítio Santo Antônio,BR,-23.18,-49.76,57.09,75,9,5.01,Southern
Aldaia,ES,39.47,-0.46,65.26,72,99,5.82,Northern
Celico,IT,39.31,16.34,48.99,79,0,1.01,Northern
Kieta,PG,-6.22,155.63,84.54,66,23,2.89,Southern
Majura,AU,-35.27,149.2,56.26,76,40,10.29,Southern
Osburn,US,47.51,-116.0,35.6,80,90,0.4,Northern
Bogorame,ID,-6.77,111.36,76.57,89,34,4.36,Southern
Douarnenez,FR,48.1,-4.33,58.42,87,95,5.82,Northern
San Antonio del Norte,HN,13.88,-87.7,84.07,42,40,9.17,Northern
Corni,RO,47.65,26.58,45.81,70,26,14.99,Northern
Hägendorf,CH,47.35,7.82,50.36,71,96,1.57,Northern
Miyoshi City,JP,35.08,137.07,61.5,63,40,3.36,Northern
Brand,AT,47.1,9.74,47.48,71,66,2.24,Northern
Pizzoferrato,IT,41.92,14.24,50.07,76,0,4.7,Northern
Mladá Boleslav,CZ,50.41,14.9,46.29,74,8,8.99,Northern
Sondheim vor der Rhön,DE,50.47,10.16,49.64,69,97,1.83,Northern
Telychka,UA,50.4,30.57,44.49,93,74,8.95,Northern
Freilingen,DE,50.57,7.83,51.39,65,100,1.59,Northern
San Zenone al Lambro,IT,45.33,9.36,61.2,67,86,2.24,Northern
Hurones,ES,42.41,-3.62,63.21,59,69,10.29,Northern
Acquaviva delle Fonti,IT,40.9,16.84,50.76,93,5,5.82,Northern
Vollenhove,NL,52.68,5.95,47.8,80,98,1.9,Northern
Pedreira,BR,-22.74,-46.9,59.0,77,4,8.05,Southern
Malacampa,PH,15.65,120.41,82.4,83,75,2.24,Northern
Rāmnagar,IN,29.39,79.13,70.12,50,0,4.76,Northern
Lirstal,DE,50.25,7.03,54.05,47,98,2.24,Northern
Apeler,DE,53.51,8.67,44.46,93,72,2.24,Northern
Hettenhausen,DE,49.33,7.55,49.37,87,1,1.43,Northern
Calverstown,IE,53.08,-6.8,48.51,87,20,12.75,Northern
Someshwar,IN,13.5,75.07,76.96,83,100,1.66,Northern
Al Hazm,YE,16.16,44.78,81.5,31,20,4.7,Northern
Marcellus,FR,44.48,0.08,66.61,62,100,5.01,Northern
Crinitz,DE,51.73,13.77,42.71,86,75,1.12,Northern
Casa de Uceda,ES,40.84,-3.37,64.65,95,53,1.23,Northern
Kleinerdlingen,DE,48.83,10.48,47.95,70,31,3.47,Northern
Osterhorn,DE,53.87,9.7,42.03,85,84,3.33,Northern
Sidonganti,ID,-6.92,111.82,74.88,93,84,4.41,Southern
Belmonte,PT,37.05,-7.86,66.11,88,75,5.82,Northern
Yatton,GB,51.97,-2.53,56.01,86,56,1.01,Northern
Sinagar,ID,-7.58,108.32,73.4,92,100,2.84,Southern
Parabiago,IT,45.55,8.95,58.84,71,94,3.36,Northern
Wangbao,CN,40.15,120.13,52.77,95,100,4.99,Northern
Saint-Marcel-lès-Sauzet,FR,44.6,4.81,61.0,57,88,3.83,Northern
Scharnhausen,DE,48.71,9.26,52.23,71,59,1.12,Northern
San Pedro del Valle,ES,41.03,-5.86,60.8,77,41,2.24,Northern
St Leonards,GB,50.83,-1.85,51.39,90,100,2.19,Northern
Clyde,US,41.3,-82.98,62.04,17,37,11.01,Northern
Thiergarten,DE,49.68,6.98,51.46,56,100,0.76,Northern
El Porvenir,PA,9.57,-78.95,82.49,84,100,11.21,Northern
Alcázar de San Juan,ES,39.28,-3.26,63.82,58,38,7.0,Northern
Galeyevka,BY,53.53,29.87,39.09,83,12,7.43,Northern
Doloon,MN,44.42,105.32,50.97,45,100,7.96,Northern
Rottorf,DE,52.26,10.84,46.45,84,89,2.15,Northern
Viga,PH,13.87,124.31,83.14,72,80,3.11,Northern
Vila Chã de Ourique,PT,39.17,-8.77,60.69,93,64,1.01,Northern
Shenlin,CN,35.58,105.92,46.0,77,100,16.17,Northern
Enugu-Ezike,NG,6.98,7.46,75.4,94,90,4.34,Northern
Lucena City,PH,13.93,121.62,84.0,84,75,1.01,Northern
Diaotai,CN,34.29,108.69,62.91,87,100,8.95,Northern
Reana del Rojale,IT,46.14,13.25,55.0,79,0,1.99,Northern
Pegalajar,ES,37.74,-3.65,70.0,43,22,1.01,Northern
Lake Telemark,US,40.96,-74.5,60.66,30,33,8.66,Northern
Tlalpan,MX,19.28,-99.17,60.13,45,75,16.11,Northern
Großlittgen,DE,50.03,6.8,56.14,50,75,2.26,Northern
Langerwehe,DE,50.82,6.35,54.27,66,75,1.12,Northern
Iwanai,JP,42.97,140.51,57.38,38,34,5.26,Northern
Kattisavan,SE,64.75,18.15,25.56,79,0,2.48,Northern
Matelândia,BR,-25.24,-53.98,55.4,76,0,4.7,Southern
Luc-Armau,FR,43.42,-0.07,66.2,77,100,5.82,Northern
Río Cuarto,AR,-33.13,-64.35,59.0,54,2,10.29,Southern
Lowden,AU,-33.53,115.97,48.51,98,14,2.77,Southern
Mühlethurnen,CH,46.81,7.51,50.94,93,100,2.24,Northern
Kohima,IN,25.67,94.12,57.07,93,13,1.83,Northern
Geroldswil,CH,47.42,8.41,49.32,71,83,3.36,Northern
Pueblo Nuevo Viñas,GT,14.22,-90.48,84.85,53,75,11.41,Northern
Pettigoe,IE,54.55,-7.83,55.4,87,40,10.29,Northern
Santa Fe,PH,8.34,124.78,81.0,77,4,3.0,Northern
Rodezno,ES,42.53,-2.85,69.82,49,20,14.99,Northern
Pfatter,DE,48.97,12.38,47.5,74,33,1.45,Northern
Itabirito,BR,-20.25,-43.8,58.59,86,98,5.23,Southern
Iteng,ID,-8.81,120.42,79.07,82,63,5.5,Southern
Mollens,CH,46.58,6.36,56.84,82,100,1.07,Northern
Phanom Thuan,TH,14.13,99.7,82.99,74,65,3.33,Northern
Wanshi,CN,30.1,119.57,74.03,93,11,3.11,Northern
Princeton,US,25.54,-80.41,79.48,51,1,11.41,Northern
Corato,IT,41.15,16.41,55.08,76,0,6.93,Northern
Sébaco,NI,12.85,-86.1,88.23,41,28,12.35,Northern
La Jacqueminière,FR,48.0,3.08,50.63,78,99,6.93,Northern
Keljonkangas,FI,62.19,25.71,30.81,86,2,2.24,Northern
Saint-Front-sur-Nizonne,FR,45.48,0.64,63.57,66,98,1.99,Northern
Grundy Center,US,42.36,-92.77,61.0,47,100,8.01,Northern
Murias de Paredes,ES,42.85,-6.19,56.68,59,40,13.87,Northern
L'Isle-Verte,CA,48.01,-69.34,41.67,72,32,0.63,Northern
Sannicola,IT,40.09,18.07,55.18,87,5,9.17,Northern
Piketon,US,39.07,-83.01,64.69,29,75,12.75,Northern
Città di Castello,IT,43.47,12.23,46.99,83,0,1.01,Northern
Trussville,US,33.62,-86.61,67.1,30,1,3.36,Northern
Santiago de la Puebla,ES,40.8,-5.28,60.91,77,65,2.24,Northern
Megara,GR,38.0,23.35,58.73,50,0,11.27,Northern
Pendé,FR,50.17,1.58,51.35,62,100,4.7,Northern
Oberstadtfeld,DE,50.18,6.77,55.8,47,100,2.24,Northern
Butjadingen,DE,53.55,8.34,44.78,93,68,2.24,Northern
Kleinbouslar,DE,51.03,6.35,52.45,57,100,0.87,Northern
Şiran,TR,40.19,39.13,55.4,66,90,6.93,Northern
Wertingen,DE,48.55,10.68,45.46,75,23,3.36,Northern
Saint-Molf,FR,47.38,-2.42,57.31,77,99,5.82,Northern
Emmering,DE,48.18,11.28,45.09,75,17,3.36,Northern
Albert,AU,-32.35,147.5,63.07,60,0,15.12,Southern
Caso,ES,43.18,-5.34,55.4,80,59,1.01,Northern
Sommersdorf,DE,52.17,11.08,46.71,71,83,2.62,Northern
Borodino,RU,55.91,94.9,38.7,83,75,14.85,Northern
Arrondissement de Langon,FR,44.5,-0.33,66.33,67,87,1.01,Northern
Vaires-sur-Marne,FR,48.88,2.64,56.03,50,97,5.82,Northern
White Hall,US,34.27,-92.09,68.92,40,1,8.05,Northern
Krynica Morska,PL,54.38,19.44,41.76,93,0,2.24,Northern
Kuršanec,HR,46.33,16.4,48.51,77,0,1.01,Northern
Banalo,PH,13.65,121.18,84.0,84,92,1.01,Northern
Macclesfield,AU,-35.18,138.83,54.84,91,2,1.99,Southern
Alt Mölln,DE,53.62,10.65,43.07,78,96,3.47,Northern
Kilembe,UG,0.2,30.0,62.02,77,72,2.3,Northern
Biskupice Radłowskie,PL,50.12,20.86,47.03,67,44,8.99,Northern
Ermesinde,PT,41.22,-8.55,61.72,93,75,3.36,Northern
Holzhausen,DE,48.43,10.82,44.22,75,20,3.36,Northern
Vurğun,AZ,41.09,45.48,55.02,63,96,6.49,Northern
